STATE,COUNTY,YEAR,POP
Alabama,Alabama,2000,4452173
Alabama,Alabama,2001,4467634
Alabama,Alabama,2002,4480089
Alabama,Alabama,2003,4503491
Alabama,Alabama,2004,4530729
Alabama,Alabama,2005,4569805
Alabama,Alabama,2006,4628981
Alabama,Alabama,2007,4672840
Alabama,Alabama,2008,4718206
Alabama,Alabama,2009,4757938
Alabama,Alabama,2010,4779736
Alabama,Alabama,2011,4799069
Alabama,Alabama,2012,4815588
Alabama,Alabama,2013,4830081
Alabama,Alabama,2014,4841799
Alabama,Alabama,2015,4852347
Alabama,Alabama,2016,4863525
Alabama,Alabama,2017,4874486
Alabama,Alabama,2018,4887681
Alabama,Alabama,2019,4903185
Alabama,Autauga County,2000,44021
Alabama,Autauga County,2001,44889
Alabama,Autauga County,2002,45909
Alabama,Autauga County,2003,46800
Alabama,Autauga County,2004,48366
Alabama,Autauga County,2005,49676
Alabama,Autauga County,2006,51328
Alabama,Autauga County,2007,52405
Alabama,Autauga County,2008,53277
Alabama,Autauga County,2009,54135
Alabama,Autauga County,2010,54571
Alabama,Autauga County,2011,55227
Alabama,Autauga County,2012,54954
Alabama,Autauga County,2013,54727
Alabama,Autauga County,2014,54893
Alabama,Autauga County,2015,54864
Alabama,Autauga County,2016,55243
Alabama,Autauga County,2017,55390
Alabama,Autauga County,2018,55533
Alabama,Autauga County,2019,55869
Alabama,Baldwin County,2000,141342
Alabama,Baldwin County,2001,144875
Alabama,Baldwin County,2002,147957
Alabama,Baldwin County,2003,151509
Alabama,Baldwin County,2004,156266
Alabama,Baldwin County,2005,162183
Alabama,Baldwin County,2006,168121
Alabama,Baldwin County,2007,172404
Alabama,Baldwin County,2008,175827
Alabama,Baldwin County,2009,179406
Alabama,Baldwin County,2010,182265
Alabama,Baldwin County,2011,186558
Alabama,Baldwin County,2012,190145
Alabama,Baldwin County,2013,194885
Alabama,Baldwin County,2014,199183
Alabama,Baldwin County,2015,202939
Alabama,Baldwin County,2016,207601
Alabama,Baldwin County,2017,212521
Alabama,Baldwin County,2018,217855
Alabama,Baldwin County,2019,223234
Alabama,Barbour County,2000,29015
Alabama,Barbour County,2001,28863
Alabama,Barbour County,2002,28653
Alabama,Barbour County,2003,28594
Alabama,Barbour County,2004,28287
Alabama,Barbour County,2005,28027
Alabama,Barbour County,2006,27861
Alabama,Barbour County,2007,27757
Alabama,Barbour County,2008,27808
Alabama,Barbour County,2009,27657
Alabama,Barbour County,2010,27457
Alabama,Barbour County,2011,27341
Alabama,Barbour County,2012,27169
Alabama,Barbour County,2013,26937
Alabama,Barbour County,2014,26755
Alabama,Barbour County,2015,26283
Alabama,Barbour County,2016,25806
Alabama,Barbour County,2017,25157
Alabama,Barbour County,2018,24872
Alabama,Barbour County,2019,24686
Alabama,Bibb County,2000,19913
Alabama,Bibb County,2001,21028
Alabama,Bibb County,2002,21199
Alabama,Bibb County,2003,21399
Alabama,Bibb County,2004,21721
Alabama,Bibb County,2005,22042
Alabama,Bibb County,2006,22099
Alabama,Bibb County,2007,22438
Alabama,Bibb County,2008,22705
Alabama,Bibb County,2009,22941
Alabama,Bibb County,2010,22915
Alabama,Bibb County,2011,22745
Alabama,Bibb County,2012,22667
Alabama,Bibb County,2013,22521
Alabama,Bibb County,2014,22553
Alabama,Bibb County,2015,22566
Alabama,Bibb County,2016,22586
Alabama,Bibb County,2017,22550
Alabama,Bibb County,2018,22367
Alabama,Bibb County,2019,22394
Alabama,Blount County,2000,51107
Alabama,Blount County,2001,51845
Alabama,Blount County,2002,52551
Alabama,Blount County,2003,53457
Alabama,Blount County,2004,54124
Alabama,Blount County,2005,54624
Alabama,Blount County,2006,55485
Alabama,Blount County,2007,56240
Alabama,Blount County,2008,57055
Alabama,Blount County,2009,57341
Alabama,Blount County,2010,57322
Alabama,Blount County,2011,57560
Alabama,Blount County,2012,57580
Alabama,Blount County,2013,57619
Alabama,Blount County,2014,57526
Alabama,Blount County,2015,57526
Alabama,Blount County,2016,57494
Alabama,Blount County,2017,57787
Alabama,Blount County,2018,57771
Alabama,Blount County,2019,57826
Alabama,Bullock County,2000,11581
Alabama,Bullock County,2001,11358
Alabama,Bullock County,2002,11256
Alabama,Bullock County,2003,11316
Alabama,Bullock County,2004,11056
Alabama,Bullock County,2005,11011
Alabama,Bullock County,2006,10776
Alabama,Bullock County,2007,11011
Alabama,Bullock County,2008,10953
Alabama,Bullock County,2009,10987
Alabama,Bullock County,2010,10914
Alabama,Bullock County,2011,10675
Alabama,Bullock County,2012,10606
Alabama,Bullock County,2013,10549
Alabama,Bullock County,2014,10663
Alabama,Bullock County,2015,10400
Alabama,Bullock County,2016,10389
Alabama,Bullock County,2017,10176
Alabama,Bullock County,2018,10174
Alabama,Bullock County,2019,10101
Alabama,Butler County,2000,21325
Alabama,Butler County,2001,21139
Alabama,Butler County,2002,20803
Alabama,Butler County,2003,20833
Alabama,Butler County,2004,20870
Alabama,Butler County,2005,20830
Alabama,Butler County,2006,20815
Alabama,Butler County,2007,20894
Alabama,Butler County,2008,20949
Alabama,Butler County,2009,20867
Alabama,Butler County,2010,20947
Alabama,Butler County,2011,20866
Alabama,Butler County,2012,20670
Alabama,Butler County,2013,20356
Alabama,Butler County,2014,20327
Alabama,Butler County,2015,20162
Alabama,Butler County,2016,20012
Alabama,Butler County,2017,19888
Alabama,Butler County,2018,19631
Alabama,Butler County,2019,19448
Alabama,Calhoun County,2000,111081
Alabama,Calhoun County,2001,111266
Alabama,Calhoun County,2002,111625
Alabama,Calhoun County,2003,112705
Alabama,Calhoun County,2004,113462
Alabama,Calhoun County,2005,114477
Alabama,Calhoun County,2006,115388
Alabama,Calhoun County,2007,116211
Alabama,Calhoun County,2008,117274
Alabama,Calhoun County,2009,118363
Alabama,Calhoun County,2010,118572
Alabama,Calhoun County,2011,117744
Alabama,Calhoun County,2012,117190
Alabama,Calhoun County,2013,116471
Alabama,Calhoun County,2014,115917
Alabama,Calhoun County,2015,115469
Alabama,Calhoun County,2016,114973
Alabama,Calhoun County,2017,114710
Alabama,Calhoun County,2018,114331
Alabama,Calhoun County,2019,113605
Alabama,Chambers County,2000,36571
Alabama,Chambers County,2001,36274
Alabama,Chambers County,2002,35965
Alabama,Chambers County,2003,35680
Alabama,Chambers County,2004,35463
Alabama,Chambers County,2005,35279
Alabama,Chambers County,2006,34945
Alabama,Chambers County,2007,34847
Alabama,Chambers County,2008,34563
Alabama,Chambers County,2009,34384
Alabama,Chambers County,2010,34215
Alabama,Chambers County,2011,34033
Alabama,Chambers County,2012,34104
Alabama,Chambers County,2013,34139
Alabama,Chambers County,2014,33977
Alabama,Chambers County,2015,33996
Alabama,Chambers County,2016,33745
Alabama,Chambers County,2017,33707
Alabama,Chambers County,2018,33600
Alabama,Chambers County,2019,33254
Alabama,Cherokee County,2000,24006
Alabama,Cherokee County,2001,24182
Alabama,Cherokee County,2002,24403
Alabama,Cherokee County,2003,24591
Alabama,Cherokee County,2004,24887
Alabama,Cherokee County,2005,25031
Alabama,Cherokee County,2006,25466
Alabama,Cherokee County,2007,25553
Alabama,Cherokee County,2008,25636
Alabama,Cherokee County,2009,25854
Alabama,Cherokee County,2010,25989
Alabama,Cherokee County,2011,25989
Alabama,Cherokee County,2012,25958
Alabama,Cherokee County,2013,26017
Alabama,Cherokee County,2014,25895
Alabama,Cherokee County,2015,25732
Alabama,Cherokee County,2016,25768
Alabama,Cherokee County,2017,25805
Alabama,Cherokee County,2018,26014
Alabama,Cherokee County,2019,26196
Alabama,Chilton County,2000,39897
Alabama,Chilton County,2001,40197
Alabama,Chilton County,2002,40683
Alabama,Chilton County,2003,41079
Alabama,Chilton County,2004,41534
Alabama,Chilton County,2005,41946
Alabama,Chilton County,2006,42318
Alabama,Chilton County,2007,42881
Alabama,Chilton County,2008,43239
Alabama,Chilton County,2009,43484
Alabama,Chilton County,2010,43643
Alabama,Chilton County,2011,43689
Alabama,Chilton County,2012,43582
Alabama,Chilton County,2013,43628
Alabama,Chilton County,2014,43760
Alabama,Chilton County,2015,43700
Alabama,Chilton County,2016,43866
Alabama,Chilton County,2017,44120
Alabama,Chilton County,2018,44163
Alabama,Chilton County,2019,44428
Alabama,Choctaw County,2000,15875
Alabama,Choctaw County,2001,15677
Alabama,Choctaw County,2002,15367
Alabama,Choctaw County,2003,15199
Alabama,Choctaw County,2004,14930
Alabama,Choctaw County,2005,14545
Alabama,Choctaw County,2006,14431
Alabama,Choctaw County,2007,14216
Alabama,Choctaw County,2008,14114
Alabama,Choctaw County,2009,13976
Alabama,Choctaw County,2010,13859
Alabama,Choctaw County,2011,13609
Alabama,Choctaw County,2012,13563
Alabama,Choctaw County,2013,13397
Alabama,Choctaw County,2014,13317
Alabama,Choctaw County,2015,13231
Alabama,Choctaw County,2016,13045
Alabama,Choctaw County,2017,12925
Alabama,Choctaw County,2018,12833
Alabama,Choctaw County,2019,12589
Alabama,Clarke County,2000,27819
Alabama,Clarke County,2001,27624
Alabama,Clarke County,2002,27267
Alabama,Clarke County,2003,27090
Alabama,Clarke County,2004,26958
Alabama,Clarke County,2005,26764
Alabama,Clarke County,2006,26755
Alabama,Clarke County,2007,26436
Alabama,Clarke County,2008,26283
Alabama,Clarke County,2009,26038
Alabama,Clarke County,2010,25833
Alabama,Clarke County,2011,25587
Alabama,Clarke County,2012,25155
Alabama,Clarke County,2013,25123
Alabama,Clarke County,2014,24864
Alabama,Clarke County,2015,24698
Alabama,Clarke County,2016,24340
Alabama,Clarke County,2017,24063
Alabama,Clarke County,2018,23918
Alabama,Clarke County,2019,23622
Alabama,Clay County,2000,14263
Alabama,Clay County,2001,14298
Alabama,Clay County,2002,14257
Alabama,Clay County,2003,14203
Alabama,Clay County,2004,14121
Alabama,Clay County,2005,14077
Alabama,Clay County,2006,14053
Alabama,Clay County,2007,14085
Alabama,Clay County,2008,14161
Alabama,Clay County,2009,14006
Alabama,Clay County,2010,13932
Alabama,Clay County,2011,13687
Alabama,Clay County,2012,13434
Alabama,Clay County,2013,13404
Alabama,Clay County,2014,13441
Alabama,Clay County,2015,13415
Alabama,Clay County,2016,13393
Alabama,Clay County,2017,13350
Alabama,Clay County,2018,13294
Alabama,Clay County,2019,13235
Alabama,Cleburne County,2000,14172
Alabama,Cleburne County,2001,14222
Alabama,Cleburne County,2002,14416
Alabama,Cleburne County,2003,14438
Alabama,Cleburne County,2004,14339
Alabama,Cleburne County,2005,14368
Alabama,Cleburne County,2006,14538
Alabama,Cleburne County,2007,14799
Alabama,Cleburne County,2008,14874
Alabama,Cleburne County,2009,14918
Alabama,Cleburne County,2010,14972
Alabama,Cleburne County,2011,14928
Alabama,Cleburne County,2012,14889
Alabama,Cleburne County,2013,14976
Alabama,Cleburne County,2014,15026
Alabama,Cleburne County,2015,14914
Alabama,Cleburne County,2016,14848
Alabama,Cleburne County,2017,14899
Alabama,Cleburne County,2018,15010
Alabama,Cleburne County,2019,14910
Alabama,Coffee County,2000,43580
Alabama,Coffee County,2001,43716
Alabama,Coffee County,2002,43930
Alabama,Coffee County,2003,44315
Alabama,Coffee County,2004,45053
Alabama,Coffee County,2005,45604
Alabama,Coffee County,2006,46228
Alabama,Coffee County,2007,47458
Alabama,Coffee County,2008,48516
Alabama,Coffee County,2009,49440
Alabama,Coffee County,2010,49948
Alabama,Coffee County,2011,50444
Alabama,Coffee County,2012,51141
Alabama,Coffee County,2013,50681
Alabama,Coffee County,2014,50657
Alabama,Coffee County,2015,50963
Alabama,Coffee County,2016,51202
Alabama,Coffee County,2017,51853
Alabama,Coffee County,2018,51950
Alabama,Coffee County,2019,52342
Alabama,Colbert County,2000,54997
Alabama,Colbert County,2001,54793
Alabama,Colbert County,2002,54536
Alabama,Colbert County,2003,54279
Alabama,Colbert County,2004,54380
Alabama,Colbert County,2005,54359
Alabama,Colbert County,2006,54413
Alabama,Colbert County,2007,54486
Alabama,Colbert County,2008,54473
Alabama,Colbert County,2009,54426
Alabama,Colbert County,2010,54428
Alabama,Colbert County,2011,54539
Alabama,Colbert County,2012,54570
Alabama,Colbert County,2013,54529
Alabama,Colbert County,2014,54462
Alabama,Colbert County,2015,54417
Alabama,Colbert County,2016,54497
Alabama,Colbert County,2017,54695
Alabama,Colbert County,2018,55004
Alabama,Colbert County,2019,55241
Alabama,Conecuh County,2000,14035
Alabama,Conecuh County,2001,13940
Alabama,Conecuh County,2002,13793
Alabama,Conecuh County,2003,13585
Alabama,Conecuh County,2004,13430
Alabama,Conecuh County,2005,13421
Alabama,Conecuh County,2006,13603
Alabama,Conecuh County,2007,13441
Alabama,Conecuh County,2008,13388
Alabama,Conecuh County,2009,13274
Alabama,Conecuh County,2010,13228
Alabama,Conecuh County,2011,13195
Alabama,Conecuh County,2012,13046
Alabama,Conecuh County,2013,12912
Alabama,Conecuh County,2014,12677
Alabama,Conecuh County,2015,12678
Alabama,Conecuh County,2016,12500
Alabama,Conecuh County,2017,12431
Alabama,Conecuh County,2018,12292
Alabama,Conecuh County,2019,12067
Alabama,Coosa County,2000,11844
Alabama,Coosa County,2001,11848
Alabama,Coosa County,2002,11740
Alabama,Coosa County,2003,11732
Alabama,Coosa County,2004,11560
Alabama,Coosa County,2005,11467
Alabama,Coosa County,2006,11451
Alabama,Coosa County,2007,11439
Alabama,Coosa County,2008,11493
Alabama,Coosa County,2009,11410
Alabama,Coosa County,2010,11539
Alabama,Coosa County,2011,11486
Alabama,Coosa County,2012,11346
Alabama,Coosa County,2013,11254
Alabama,Coosa County,2014,11037
Alabama,Coosa County,2015,10934
Alabama,Coosa County,2016,10819
Alabama,Coosa County,2017,10724
Alabama,Coosa County,2018,10643
Alabama,Coosa County,2019,10663
Alabama,Covington County,2000,37514
Alabama,Covington County,2001,37069
Alabama,Covington County,2002,36901
Alabama,Covington County,2003,36860
Alabama,Covington County,2004,36806
Alabama,Covington County,2005,37204
Alabama,Covington County,2006,37441
Alabama,Covington County,2007,37631
Alabama,Covington County,2008,37545
Alabama,Covington County,2009,37648
Alabama,Covington County,2010,37765
Alabama,Covington County,2011,38020
Alabama,Covington County,2012,37805
Alabama,Covington County,2013,37814
Alabama,Covington County,2014,37760
Alabama,Covington County,2015,37556
Alabama,Covington County,2016,37382
Alabama,Covington County,2017,37062
Alabama,Covington County,2018,36953
Alabama,Covington County,2019,37049
Alabama,Crenshaw County,2000,13692
Alabama,Crenshaw County,2001,13724
Alabama,Crenshaw County,2002,13635
Alabama,Crenshaw County,2003,13652
Alabama,Crenshaw County,2004,13727
Alabama,Crenshaw County,2005,13699
Alabama,Crenshaw County,2006,13880
Alabama,Crenshaw County,2007,13956
Alabama,Crenshaw County,2008,13922
Alabama,Crenshaw County,2009,14024
Alabama,Crenshaw County,2010,13906
Alabama,Crenshaw County,2011,13894
Alabama,Crenshaw County,2012,13915
Alabama,Crenshaw County,2013,13847
Alabama,Crenshaw County,2014,13851
Alabama,Crenshaw County,2015,13850
Alabama,Crenshaw County,2016,13916
Alabama,Crenshaw County,2017,13858
Alabama,Crenshaw County,2018,13825
Alabama,Crenshaw County,2019,13772
Alabama,Cullman County,2000,77473
Alabama,Cullman County,2001,77415
Alabama,Cullman County,2002,77443
Alabama,Cullman County,2003,77657
Alabama,Cullman County,2004,78131
Alabama,Cullman County,2005,78692
Alabama,Cullman County,2006,79044
Alabama,Cullman County,2007,79576
Alabama,Cullman County,2008,80273
Alabama,Cullman County,2009,80351
Alabama,Cullman County,2010,80406
Alabama,Cullman County,2011,80410
Alabama,Cullman County,2012,80279
Alabama,Cullman County,2013,80690
Alabama,Cullman County,2014,81068
Alabama,Cullman County,2015,81761
Alabama,Cullman County,2016,82450
Alabama,Cullman County,2017,82867
Alabama,Cullman County,2018,83418
Alabama,Cullman County,2019,83768
Alabama,Dale County,2000,49124
Alabama,Dale County,2001,49254
Alabama,Dale County,2002,49373
Alabama,Dale County,2003,49215
Alabama,Dale County,2004,49245
Alabama,Dale County,2005,49050
Alabama,Dale County,2006,49077
Alabama,Dale County,2007,49488
Alabama,Dale County,2008,49871
Alabama,Dale County,2009,49854
Alabama,Dale County,2010,50251
Alabama,Dale County,2011,50122
Alabama,Dale County,2012,50289
Alabama,Dale County,2013,49771
Alabama,Dale County,2014,49414
Alabama,Dale County,2015,49365
Alabama,Dale County,2016,49362
Alabama,Dale County,2017,49342
Alabama,Dale County,2018,49143
Alabama,Dale County,2019,49172
Alabama,Dallas County,2000,46198
Alabama,Dallas County,2001,46132
Alabama,Dallas County,2002,45377
Alabama,Dallas County,2003,45170
Alabama,Dallas County,2004,44795
Alabama,Dallas County,2005,44434
Alabama,Dallas County,2006,44323
Alabama,Dallas County,2007,44194
Alabama,Dallas County,2008,44265
Alabama,Dallas County,2009,43759
Alabama,Dallas County,2010,43820
Alabama,Dallas County,2011,43251
Alabama,Dallas County,2012,42789
Alabama,Dallas County,2013,41976
Alabama,Dallas County,2014,41554
Alabama,Dallas County,2015,40936
Alabama,Dallas County,2016,40080
Alabama,Dallas County,2017,39238
Alabama,Dallas County,2018,38294
Alabama,Dallas County,2019,37196
Alabama,DeKalb County,2000,64650
Alabama,DeKalb County,2001,65678
Alabama,DeKalb County,2002,65861
Alabama,DeKalb County,2003,66530
Alabama,DeKalb County,2004,67260
Alabama,DeKalb County,2005,67794
Alabama,DeKalb County,2006,68495
Alabama,DeKalb County,2007,69450
Alabama,DeKalb County,2008,70228
Alabama,DeKalb County,2009,70864
Alabama,DeKalb County,2010,71109
Alabama,DeKalb County,2011,71365
Alabama,DeKalb County,2012,70944
Alabama,DeKalb County,2013,70912
Alabama,DeKalb County,2014,70993
Alabama,DeKalb County,2015,71087
Alabama,DeKalb County,2016,71104
Alabama,DeKalb County,2017,71437
Alabama,DeKalb County,2018,71407
Alabama,DeKalb County,2019,71513
Alabama,Elmore County,2000,66160
Alabama,Elmore County,2001,67459
Alabama,Elmore County,2002,68659
Alabama,Elmore County,2003,69935
Alabama,Elmore County,2004,71018
Alabama,Elmore County,2005,72978
Alabama,Elmore County,2006,75246
Alabama,Elmore County,2007,77124
Alabama,Elmore County,2008,77698
Alabama,Elmore County,2009,78632
Alabama,Elmore County,2010,79303
Alabama,Elmore County,2011,79993
Alabama,Elmore County,2012,80193
Alabama,Elmore County,2013,80536
Alabama,Elmore County,2014,80538
Alabama,Elmore County,2015,80872
Alabama,Elmore County,2016,81204
Alabama,Elmore County,2017,81422
Alabama,Elmore County,2018,81011
Alabama,Elmore County,2019,81209
Alabama,Escambia County,2000,38325
Alabama,Escambia County,2001,38197
Alabama,Escambia County,2002,38035
Alabama,Escambia County,2003,37796
Alabama,Escambia County,2004,37713
Alabama,Escambia County,2005,37601
Alabama,Escambia County,2006,37673
Alabama,Escambia County,2007,37839
Alabama,Escambia County,2008,37929
Alabama,Escambia County,2009,38249
Alabama,Escambia County,2010,38319
Alabama,Escambia County,2011,38204
Alabama,Escambia County,2012,38023
Alabama,Escambia County,2013,37765
Alabama,Escambia County,2014,37735
Alabama,Escambia County,2015,37661
Alabama,Escambia County,2016,37475
Alabama,Escambia County,2017,36993
Alabama,Escambia County,2018,36524
Alabama,Escambia County,2019,36633
Alabama,Etowah County,2000,103286
Alabama,Etowah County,2001,102976
Alabama,Etowah County,2002,102988
Alabama,Etowah County,2003,103025
Alabama,Etowah County,2004,103080
Alabama,Etowah County,2005,103174
Alabama,Etowah County,2006,103528
Alabama,Etowah County,2007,103893
Alabama,Etowah County,2008,104206
Alabama,Etowah County,2009,104239
Alabama,Etowah County,2010,104430
Alabama,Etowah County,2011,104369
Alabama,Etowah County,2012,104278
Alabama,Etowah County,2013,103884
Alabama,Etowah County,2014,103399
Alabama,Etowah County,2015,102998
Alabama,Etowah County,2016,102855
Alabama,Etowah County,2017,103007
Alabama,Etowah County,2018,102611
Alabama,Etowah County,2019,102268
Alabama,Fayette County,2000,18512
Alabama,Fayette County,2001,18384
Alabama,Fayette County,2002,18278
Alabama,Fayette County,2003,18178
Alabama,Fayette County,2004,18022
Alabama,Fayette County,2005,18030
Alabama,Fayette County,2006,17767
Alabama,Fayette County,2007,17523
Alabama,Fayette County,2008,17541
Alabama,Fayette County,2009,17310
Alabama,Fayette County,2010,17241
Alabama,Fayette County,2011,17052
Alabama,Fayette County,2012,16945
Alabama,Fayette County,2013,16824
Alabama,Fayette County,2014,16772
Alabama,Fayette County,2015,16696
Alabama,Fayette County,2016,16563
Alabama,Fayette County,2017,16466
Alabama,Fayette County,2018,16445
Alabama,Fayette County,2019,16302
Alabama,Franklin County,2000,31242
Alabama,Franklin County,2001,31190
Alabama,Franklin County,2002,30891
Alabama,Franklin County,2003,30874
Alabama,Franklin County,2004,30768
Alabama,Franklin County,2005,30968
Alabama,Franklin County,2006,31134
Alabama,Franklin County,2007,31004
Alabama,Franklin County,2008,31459
Alabama,Franklin County,2009,31589
Alabama,Franklin County,2010,31704
Alabama,Franklin County,2011,31776
Alabama,Franklin County,2012,31690
Alabama,Franklin County,2013,31553
Alabama,Franklin County,2014,31559
Alabama,Franklin County,2015,31515
Alabama,Franklin County,2016,31611
Alabama,Franklin County,2017,31542
Alabama,Franklin County,2018,31298
Alabama,Franklin County,2019,31362
Alabama,Geneva County,2000,25740
Alabama,Geneva County,2001,25565
Alabama,Geneva County,2002,25580
Alabama,Geneva County,2003,25702
Alabama,Geneva County,2004,25772
Alabama,Geneva County,2005,25988
Alabama,Geneva County,2006,26271
Alabama,Geneva County,2007,26322
Alabama,Geneva County,2008,26646
Alabama,Geneva County,2009,26653
Alabama,Geneva County,2010,26790
Alabama,Geneva County,2011,26756
Alabama,Geneva County,2012,26924
Alabama,Geneva County,2013,26677
Alabama,Geneva County,2014,26593
Alabama,Geneva County,2015,26631
Alabama,Geneva County,2016,26494
Alabama,Geneva County,2017,26385
Alabama,Geneva County,2018,26306
Alabama,Geneva County,2019,26271
Alabama,Greene County,2000,9902
Alabama,Greene County,2001,9866
Alabama,Greene County,2002,9893
Alabama,Greene County,2003,9805
Alabama,Greene County,2004,9686
Alabama,Greene County,2005,9675
Alabama,Greene County,2006,9361
Alabama,Greene County,2007,9385
Alabama,Greene County,2008,9359
Alabama,Greene County,2009,9182
Alabama,Greene County,2010,9045
Alabama,Greene County,2011,8903
Alabama,Greene County,2012,8848
Alabama,Greene County,2013,8748
Alabama,Greene County,2014,8584
Alabama,Greene County,2015,8508
Alabama,Greene County,2016,8482
Alabama,Greene County,2017,8310
Alabama,Greene County,2018,8209
Alabama,Greene County,2019,8111
Alabama,Hale County,2000,18194
Alabama,Hale County,2001,17868
Alabama,Hale County,2002,17376
Alabama,Hale County,2003,17116
Alabama,Hale County,2004,16765
Alabama,Hale County,2005,16622
Alabama,Hale County,2006,16427
Alabama,Hale County,2007,16418
Alabama,Hale County,2008,16260
Alabama,Hale County,2009,16025
Alabama,Hale County,2010,15760
Alabama,Hale County,2011,15361
Alabama,Hale County,2012,15364
Alabama,Hale County,2013,15246
Alabama,Hale County,2014,15046
Alabama,Hale County,2015,15015
Alabama,Hale County,2016,14828
Alabama,Hale County,2017,14801
Alabama,Hale County,2018,14749
Alabama,Hale County,2019,14651
Alabama,Henry County,2000,16341
Alabama,Henry County,2001,16358
Alabama,Henry County,2002,16447
Alabama,Henry County,2003,16563
Alabama,Henry County,2004,16692
Alabama,Henry County,2005,16752
Alabama,Henry County,2006,16953
Alabama,Henry County,2007,17108
Alabama,Henry County,2008,17129
Alabama,Henry County,2009,17243
Alabama,Henry County,2010,17302
Alabama,Henry County,2011,17377
Alabama,Henry County,2012,17153
Alabama,Henry County,2013,17129
Alabama,Henry County,2014,17079
Alabama,Henry County,2015,17101
Alabama,Henry County,2016,17072
Alabama,Henry County,2017,17115
Alabama,Henry County,2018,17173
Alabama,Henry County,2019,17205
Alabama,Houston County,2000,88943
Alabama,Houston County,2001,89490
Alabama,Houston County,2002,89940
Alabama,Houston County,2003,91321
Alabama,Houston County,2004,92593
Alabama,Houston County,2005,93903
Alabama,Houston County,2006,95846
Alabama,Houston County,2007,97727
Alabama,Houston County,2008,99183
Alabama,Houston County,2009,100500
Alabama,Houston County,2010,101547
Alabama,Houston County,2011,102488
Alabama,Houston County,2012,103371
Alabama,Houston County,2013,103643
Alabama,Houston County,2014,104158
Alabama,Houston County,2015,104260
Alabama,Houston County,2016,104218
Alabama,Houston County,2017,104378
Alabama,Houston County,2018,104770
Alabama,Houston County,2019,105882
Alabama,Jackson County,2000,53979
Alabama,Jackson County,2001,53997
Alabama,Jackson County,2002,53758
Alabama,Jackson County,2003,53711
Alabama,Jackson County,2004,53525
Alabama,Jackson County,2005,53332
Alabama,Jackson County,2006,53483
Alabama,Jackson County,2007,53333
Alabama,Jackson County,2008,53525
Alabama,Jackson County,2009,53461
Alabama,Jackson County,2010,53227
Alabama,Jackson County,2011,53214
Alabama,Jackson County,2012,53079
Alabama,Jackson County,2013,52957
Alabama,Jackson County,2014,52562
Alabama,Jackson County,2015,52195
Alabama,Jackson County,2016,51988
Alabama,Jackson County,2017,51828
Alabama,Jackson County,2018,51621
Alabama,Jackson County,2019,51626
Alabama,Jefferson County,2000,662033
Alabama,Jefferson County,2001,660197
Alabama,Jefferson County,2002,657518
Alabama,Jefferson County,2003,657513
Alabama,Jefferson County,2004,656023
Alabama,Jefferson County,2005,654919
Alabama,Jefferson County,2006,655893
Alabama,Jefferson County,2007,655163
Alabama,Jefferson County,2008,656510
Alabama,Jefferson County,2009,658441
Alabama,Jefferson County,2010,658466
Alabama,Jefferson County,2011,658109
Alabama,Jefferson County,2012,658061
Alabama,Jefferson County,2013,659265
Alabama,Jefferson County,2014,659972
Alabama,Jefferson County,2015,660455
Alabama,Jefferson County,2016,660343
Alabama,Jefferson County,2017,659599
Alabama,Jefferson County,2018,659429
Alabama,Jefferson County,2019,658573
Alabama,Lamar County,2000,15923
Alabama,Lamar County,2001,15632
Alabama,Lamar County,2002,15446
Alabama,Lamar County,2003,15258
Alabama,Lamar County,2004,15075
Alabama,Lamar County,2005,15009
Alabama,Lamar County,2006,14816
Alabama,Lamar County,2007,14901
Alabama,Lamar County,2008,14799
Alabama,Lamar County,2009,14689
Alabama,Lamar County,2010,14564
Alabama,Lamar County,2011,14291
Alabama,Lamar County,2012,14248
Alabama,Lamar County,2013,14212
Alabama,Lamar County,2014,14067
Alabama,Lamar County,2015,13927
Alabama,Lamar County,2016,13928
Alabama,Lamar County,2017,13882
Alabama,Lamar County,2018,13882
Alabama,Lamar County,2019,13805
Alabama,Lauderdale County,2000,88039
Alabama,Lauderdale County,2001,87791
Alabama,Lauderdale County,2002,87627
Alabama,Lauderdale County,2003,88103
Alabama,Lauderdale County,2004,88732
Alabama,Lauderdale County,2005,89358
Alabama,Lauderdale County,2006,90294
Alabama,Lauderdale County,2007,91107
Alabama,Lauderdale County,2008,92202
Alabama,Lauderdale County,2009,92526
Alabama,Lauderdale County,2010,92709
Alabama,Lauderdale County,2011,92607
Alabama,Lauderdale County,2012,92662
Alabama,Lauderdale County,2013,92701
Alabama,Lauderdale County,2014,93000
Alabama,Lauderdale County,2015,92459
Alabama,Lauderdale County,2016,92425
Alabama,Lauderdale County,2017,92564
Alabama,Lauderdale County,2018,92604
Alabama,Lauderdale County,2019,92729
Alabama,Lawrence County,2000,34874
Alabama,Lawrence County,2001,34870
Alabama,Lawrence County,2002,34698
Alabama,Lawrence County,2003,34488
Alabama,Lawrence County,2004,34318
Alabama,Lawrence County,2005,34435
Alabama,Lawrence County,2006,34028
Alabama,Lawrence County,2007,34293
Alabama,Lawrence County,2008,34196
Alabama,Lawrence County,2009,34315
Alabama,Lawrence County,2010,34339
Alabama,Lawrence County,2011,34051
Alabama,Lawrence County,2012,33806
Alabama,Lawrence County,2013,33575
Alabama,Lawrence County,2014,33444
Alabama,Lawrence County,2015,33135
Alabama,Lawrence County,2016,33227
